SKI RESORT,TOWN,STATE SHORT,COUNTY
Holimont , Ellicottville,NY,
Toggenburg Mountain , Fabius,NY,
Willard Mountain , Greenwich,NY,
Belleayre Ski Center , Highmount,NY,
Catamount Ski Area , Hillsdale,NY,
Hunter Mountain , Hunter,NY,
Titus Mountain , Malone,NY,
Thunder Ridge Ski Area , Patterson,NY,
Plattekill Mountain , Roxbury,NY,
Bristol Mountain Ski Resort , South Bristol,NY,
Sugar Hill , Sugar Hill,NY,
Swain , Swain,NY,
Labrador Mountain , Truxton,NY,
Song Mountain Resort , Tully,NY,
Big Tupper Ski Area , Tupper Lake,NY,
Snow Ridge Ski Resort , Turin,NY,
Greek Peak , Virgil,NY,
Hickory Ski Center , Warrensburg,NY,
Mount Peter Ski Area , Warwick,NY,
Dry Hill Ski Area , Watertown,NY,
Woods Valley Ski Resort , Westernville,NY,
Whiteface Mountain , Wilmington,NY,
Windham Mountain , Windham,NY,
Spout Springs , Tollgate,OR,
Jack Frost Big Boulder , Blakeslee,PA,
Hidden Valley Four Seasons Resort , Hidden Valley,PA,
Ski Big Bear , Lackawaxen,PA,
Laurel Mountain Ski Resort , Ligonier,PA,
Ski Sawmill , Morris,PA,
Camelback Ski Area , Tannersville,PA,
Yawgoo Valley , Exeter,RI,
Bolton Valley Resort , Bolton Valley,VT,
Living Memorial Park , Brattleboro,VT,
Ascutney Outdoors, Brownsville,VT,
Northeast Slopes , East Corinth,VT,
Mad River Glen , Fayston (ski only),VT,
Middlebury College Snow Bowl , Hancock,VT,
Jay Peak Resort , Jay,VT,
Killington Ski Resort , Killington,VT,
Pico Mountain , Killington,VT,
Magic Mountain , Londonderry,VT,
Okemo Mountain , Ludlow,VT,
Lyndon Outing Club , Lyndon,VT,
Bromley Mountain , Peru,VT,
Plymouth Notch , Plymouth,VT,
Cochran's Ski Area , Richmond,VT,
Suicide Six , South Pomfret,VT,
Stowe Mountain Resort , Stowe,VT,
Harrington Hill , Strafford,VT,
Stratton Mountain Resort , Stratton Mountain,VT,
Sugarbush Resort , Warren,VT,
Mount Snow , West Dover,VT,
Haystack Mountain , Wilmington,VT,
Stevens Pass , Stevens Pass,WA,
White Pass , White Pass,WA,
Kettlebowl , Bryant,WI,
Whitetail Ridge , Fort McCoy,WI,
Heiliger Huegel Ski Club , Hubertus (private),WI,
Mt. LaCrosse , LaCrosse,WI,
Nordic Mountain , Mount Morris,WI,
Granite Peak , Wausau,WI,
Wilmot Mountain , Wilmot,WI,
Snowshoe Mountain , Snowshoe,WV,
Beartooth Basin Summer Ski Area ,Red Lodge,WY,
